[2026-02-10 15:12:54] URI: /api/events/get-events.php | Referer: http://localhost:8000/public/pages/index.html | Session Name: EVENTRA_USER_SESS | ID: 0r8kivglpvq9qlt13fg14597kb | UserID: None | Role: None
[2026-02-11 08:08:16] URI: /api/events/get-events.php | Referer: http://localhost:8000/public/pages/index.html | Session Name: EVENTRA_USER_SESS | ID: s8mh5ldlqgkl5rl4vk7v1chkmd | UserID: None | Role: None
[2026-02-11 08:08:18] URI: /api/events/get-events.php?status=published&limit=10 | Referer: http://localhost:8000/client/pages/clientLogin.html | Session Name: EVENTRA_CLIENT_SESS | ID: k9fms7h06a0svgtp4f2rl9vvrf | UserID: None | Role: None
[2026-02-11 08:14:02] URI: /api/events/get-events.php?status=published&limit=10 | Referer: http://localhost:8000/client/pages/clientLogin.html | Session Name: EVENTRA_CLIENT_SESS | ID: 0e1nb31d2fiaab9norudfulojt | UserID: None | Role: None
[2026-02-11 08:14:12] URI: /api/events/get-events.php | Referer: http://localhost:8000/public/pages/index.html | Session Name: EVENTRA_USER_SESS | ID: jakuq46nt098gcnp3gk9su7oh5 | UserID: None | Role: None
[2026-02-11 08:19:18] URI: /api/events/get-events.php?status=published&limit=10 | Referer: http://localhost:8000/client/pages/clientLogin.html | Session Name: EVENTRA_CLIENT_SESS | ID: 0e1nb31d2fiaab9norudfulojt | UserID: None | Role: None
[2026-02-11 08:19:20] URI: /api/events/get-events.php?status=published&limit=10 | Referer: http://localhost:8000/client/pages/clientLogin.html | Session Name: EVENTRA_CLIENT_SESS | ID: 0e1nb31d2fiaab9norudfulojt | UserID: None | Role: None
[2026-02-11 08:19:38] URI: /api/events/get-events.php?status=published&limit=10 | Referer: http://localhost:8000/client/pages/clientLogin.html | Session Name: EVENTRA_CLIENT_SESS | ID: 0e1nb31d2fiaab9norudfulojt | UserID: None | Role: None
[2026-02-11 08:21:01] URI: /api/events/get-events.php?status=published&limit=10 | Referer: http://localhost:8000/client/pages/signup.html | Session Name: EVENTRA_CLIENT_SESS | ID: 0e1nb31d2fiaab9norudfulojt | UserID: None | Role: None
[2026-02-11 08:21:25] URI: /api/auth/register.php | Referer: http://localhost:8000/client/pages/signup.html | Session Name: EVENTRA_CLIENT_SESS | ID: 0e1nb31d2fiaab9norudfulojt | UserID: None | Role: None
[2026-02-11 08:21:28] URI: /api/events/get-events.php?status=published&limit=10 | Referer: http://localhost:8000/client/pages/clientLogin.html?role=client | Session Name: EVENTRA_CLIENT_SESS | ID: 0e1nb31d2fiaab9norudfulojt | UserID: None | Role: None
[2026-02-11 08:21:40] URI: /api/auth/login.php | Referer: http://localhost:8000/client/pages/clientLogin.html?role=client | Session Name: EVENTRA_CLIENT_SESS | ID: 0e1nb31d2fiaab9norudfulojt | UserID: None | Role: None
[2026-02-11 08:37:43] URI:  | Referer:  | Session Name: EVENTRA_USER_SESS | ID: j8r6s7rcovhaiood9msig25ohc | UserID: None | Role: None
[2026-02-11 08:46:50] URI: /api/events/get-events.php?status=published&limit=10 | Referer: http://localhost:8000/client/pages/clientLogin.html?role=client | Session Name: EVENTRA_CLIENT_SESS | ID: 0e1nb31d2fiaab9norudfulojt | UserID: None | Role: None
[2026-02-11 09:02:24] URI:  | Referer:  | Session Name: EVENTRA_USER_SESS | ID: mdchplh0ka2cqt0d8cegog7l9a | UserID: None | Role: None
[2026-02-11 09:03:03] URI:  | Referer:  | Session Name: EVENTRA_USER_SESS | ID: 1bqhtl112a0vet1ancc1heh0g5 | UserID: None | Role: None
[2026-02-11 09:03:34] URI:  | Referer:  | Session Name: EVENTRA_USER_SESS | ID: e6se19qragbeb3pt5pvumrs8nj | UserID: None | Role: None
[2026-02-11 09:03:35] URI:  | Referer:  | Session Name: EVENTRA_USER_SESS | ID: 59hdpdfqsgmk15p3r74251erta | UserID: None | Role: None
[2026-02-11 09:19:36] URI: /api/events/get-events.php?status=published&limit=10 | Referer: http://localhost:8000/client/pages/clientLogin.html?role=client | Session Name: EVENTRA_CLIENT_SESS | ID: dg6fd8mhb1vedc0v5nk6sf58m6 | UserID: None | Role: None
[2026-02-11 09:19:39] URI: /api/events/get-events.php | Referer: http://localhost:8000/public/pages/index.html | Session Name: EVENTRA_USER_SESS | ID: jakuq46nt098gcnp3gk9su7oh5 | UserID: None | Role: None
[2026-02-11 09:22:17] URI: /api/auth/login.php | Referer:  | Session Name: EVENTRA_USER_SESS | ID: 3aa8mqr0s4vtn1jn9djfd5t9im | UserID: None | Role: None
[2026-02-11 09:22:20] URI: /api/auth/login.php | Referer:  | Session Name: EVENTRA_USER_SESS | ID: dhmchsi321rhlrso90vi5ddk9e | UserID: None | Role: None
[2026-02-11 09:22:20] URI: /api/auth/login.php | Referer:  | Session Name: EVENTRA_USER_SESS | ID: v8cno17e334rn8bvb42vq41mtt | UserID: None | Role: None
[2026-02-11 09:22:42] URI: /api/auth/login.php | Referer:  | Session Name: EVENTRA_USER_SESS | ID: cbr61trs9ratgtunvtnu3v43h8 | UserID: None | Role: None
[2026-02-11 09:23:50] URI: /api/auth/register.php | Referer:  | Session Name: EVENTRA_USER_SESS | ID: j52b1qdfqtk829co02sloaeur0 | UserID: None | Role: None
[2026-02-11 09:24:14] URI: /api/events/get-events.php?status=published&limit=10 | Referer: http://localhost:8000/client/pages/signup.html | Session Name: EVENTRA_CLIENT_SESS | ID: apsksou9cq0a66iopp6l64ne4v | UserID: None | Role: None
[2026-02-11 09:25:21] URI: /api/auth/register.php | Referer: http://localhost:8000/client/pages/signup.html | Session Name: EVENTRA_CLIENT_SESS | ID: apsksou9cq0a66iopp6l64ne4v | UserID: None | Role: None
[2026-02-11 09:25:24] URI: /api/events/get-events.php?status=published&limit=10 | Referer: http://localhost:8000/client/pages/clientLogin.html?role=client | Session Name: EVENTRA_CLIENT_SESS | ID: apsksou9cq0a66iopp6l64ne4v | UserID: None | Role: None
[2026-02-11 09:25:45] URI: /api/auth/login.php | Referer: http://localhost:8000/client/pages/clientLogin.html?role=client | Session Name: EVENTRA_CLIENT_SESS | ID: apsksou9cq0a66iopp6l64ne4v | UserID: None | Role: None
[2026-02-11 09:25:48] URI: /api/users/get-profile.php | Referer: http://localhost:8000/client/pages/clientDashboard.html | Session Name: EVENTRA_CLIENT_SESS | ID: apsksou9cq0a66iopp6l64ne4v | UserID: 2 | Role: client
[2026-02-11 09:25:48] URI: /api/events/get-upcoming-events.php | Referer: http://localhost:8000/client/pages/clientDashboard.html | Session Name: EVENTRA_CLIENT_SESS | ID: apsksou9cq0a66iopp6l64ne4v | UserID: 2 | Role: client
[2026-02-11 09:25:48] URI: /api/users/get-profile.php | Referer: http://localhost:8000/client/pages/clientDashboard.html | Session Name: EVENTRA_CLIENT_SESS | ID: apsksou9cq0a66iopp6l64ne4v | UserID: 2 | Role: client
[2026-02-11 09:25:48] URI: /api/users/get-profile.php | Referer: http://localhost:8000/client/pages/clientDashboard.html | Session Name: EVENTRA_CLIENT_SESS | ID: apsksou9cq0a66iopp6l64ne4v | UserID: 2 | Role: client
[2026-02-11 09:25:48] URI: /api/stats/get-client-dashboard-stats.php | Referer: http://localhost:8000/client/pages/clientDashboard.html | Session Name: EVENTRA_CLIENT_SESS | ID: apsksou9cq0a66iopp6l64ne4v | UserID: 2 | Role: client
[2026-02-11 09:25:48] URI: /api/stats/get-chart-data.php?period=30days | Referer: http://localhost:8000/client/pages/clientDashboard.html | Session Name: EVENTRA_CLIENT_SESS | ID: apsksou9cq0a66iopp6l64ne4v | UserID: 2 | Role: client
[2026-02-11 09:26:02] URI: /api/users/get-profile.php | Referer: http://localhost:8000/client/pages/events.html | Session Name: EVENTRA_CLIENT_SESS | ID: apsksou9cq0a66iopp6l64ne4v | UserID: 2 | Role: client
